conm,gvkey,tic
BOSTON GAS CO,002329,EFU3
RESOLUTE FOREST PRODUCTS INC,002337,RFP
REXAM PLC,002338,REXMY
ENTRPRIZE CORP,002340,ENTP
BOWL AMERICA INC  -CL A,002342,BWL.A
WHITE ELECTRONIC DESIGNS CP,002345,WEDC
BOWNE & CO INC,002346,BNE
BOZZUTOS INC,002348,BOZZ
BRADLEY REAL ESTATE INC,002351,BTR.1
BRADY CORP,002352,BRC
BROOKFIELD ASSET MANAGEMENT,002369,BAM
BRESLER & REINER INC,002381,BRER
BRIDGFORD FOODS CORP,002390,BRID
BRIGGS & STRATTON,002393,BGG
VINCOR INTL INC,002396,VN.
MSGI SECURITY SOLUTIONS INC,002402,MSGI
BRISTOL-MYERS SQUIBB CO,002403,BMY
CATALYST PAPER CORP,002406,CYSTQ
TELUS CORP,002408,TU
BP PLC,002410,BP
BT GROUP PLC,002411,BT
BNS HOLDING CO,002433,BNSSA
BROWN FORMAN CORP,002435,BF.B
CALERES INC,002436,CAL
BROWN (TOM) INC,002437,TBI.
BRUNSWICK CORP,002444,BC
MATERION CORP,002448,MTRN
BFX HOSPITALITY GROUP,002461,BFX
WINMILL & CO INC  -CL A,002467,WNMLA
BULOVA CORP,002469,3BULV
FORTRAN CORP,002482,FRTN
BURLINGTON COAT FACTORY INVS,002484,0015B
CHINA XUEFENG ENVIRON ENGR,002485,CXEE
BURLINGTON INDUSTRIES INC,002489,3BRLGQ
BURLINGTON NORTHERN SANTA FE,002490,BRK3
MASTEC INC,002497,MTZ
BURR-BROWN CORP,002498,BBRC.1
UNISYS CORP,002504,UIS
EMEX CORP,002507,EMEX
BUSH INDUSTRIES  -CL A,002508,BINDQ.1
BUTLER MFG CO,002518,BBR.
BUTLER NATIONAL CORP,002519,BUKS
REUNION INDUSTRIES INC,002521,RUNI
CAE INC,002526,CAE
LIVERAMP HOLDINGS INC,002536,RAMP
C-COR INC,002537,CCBL
CDI CORP,002538,CDI
CIGNA CORP,002547,CI
CIT GROUP INC-OLD,002549,CIT.1
CMI CORP,002553,CMI.3
CPI CORP,002555,CPICQ
CSS INDUSTRIES INC,002556,CSS
CNA FINANCIAL CORP,002558,CNA
CPAC INC,002561,CPAK
BESTFOODS,002562,BFO.2
CPT HOLDING CORP,002566,CPTD
CSP INC,002573,CSPI
CSX CORP,002574,CSX
CTS CORP,002577,CTS
TELOS CORP/MD,002578,6534C
CVD EQUIPMENT CORP,002581,CVV
HEALTHTRONICS INC,002589,HTRN
CABOT CORP,002593,CBT
CACHE INC,002595,CACH
CACI INTL INC  -CL A,002596,CACI
CADBURY PLC,002597,CDSCY
CADMUS COMMUNICATIONS CORP,002602,CDMS
CAGLE'S INC  -CL A,002606,CAGAQ
CALAMP CORP,002615,CAMP
SCIOS INC,002616,SCIO.
CALIFORNIA ENGELS MINING CO,002618,CAEN
MUFG AMERICAS HOLDINGS CORP,002620,0176A
ADAPTIVE BROADBAND CORP.,002625,ADAP.1
CALIFORNIA WATER SERVICE GP,002628,CWT
CALPROP CORP,002636,CLPO
CAMBEX CORP,002644,CBEX
AQUILA BIOPHARM INC,002646,AQLA
CAMBRIDGE ELECTRIC LIGHT CO,002647,CES1
CAMPBELL RESOURCES INC,002662,CBLRF
CAMPBELL SOUP CO,002663,CPB
O & Y PROPERTIES CORP,002665,9887B
LAFARGE CDA INC  -EX PREF,002669,LCI.PE
MAPLE LEAF FOODS INC,002675,MLFNF
CANADA SOUTHERN PETROLEUM,002677,CSPLF
BAE SYSTEMS CANADA INC,002694,BAE
CANADIAN NATIONAL RAILWAY CO,002696,CNI
NEXEN INC,002697,NXY
CANADIAN PACIFIC RAILWAY LTD,002698,CP
CANADIAN TIRE CORP  -CL A,002703,CDNAF
CANAL ELECTRIC CO,002707,CES2
CONSTELLATION BRANDS,002710,STZ
CANON INC,002721,CAJ
PROVIDIAN FINANCIAL CORP,002731,PVN
CAPITAL INVESTMENT OF HAWAII,002733,3CHAWE
CAPITAL PROPERTIES INC,002735,CPTP
CARA OPERATIONS LTD  -OLD,002742,CAO.A
CARDINAL HEALTH INC,002751,CAH
CARLISLE COS INC,002771,CSL
GUNGNIR RESOURCES INC,002777,ASWRF
PROGRESS ENERGY INC,002783,DUK8
HEALTHY PLANET PRODUCTS INC,002785,HPPS
CARPENTER TECHNOLOGY CORP,002787,CRS
CARROLS CORP,002791,TAST1
CARTER-WALLACE INC,002797,CAR.1
CASCADE CORP,002802,CASC.2
CASCADE NATURAL GAS CORP,002803,CGC.2
CASEYS GENERAL STORES INC,002807,CASY
CASTLE (A M) & CO,002811,CTAM
DOLE FOOD CO INC,002812,DOLE
CATERPILLAR INC,002817,CAT
CATO CORP  -CL A,002818,CATO
CAVCO INDUSTRIES INC,002820,CVCO
R F INDUSTRIES LTD,002829,RFIL
ADVANCED BATTERY TECH INC,002831,ABAT
CENTEX CORP,002845,CTX.2
CENTRAL & SOUTH WEST CORP,002847,CSR.1
BBVA COMPASS BANCSHARES INC,002849,BBVA1
CENTRAL NATURAL RES INC,002852,CTNR
CH ENERGY GROUP INC,002856,CHG
CENTRAL ILLINOIS LIGHT CO,002857,AES2
CLECO CORP,002859,CNL
CMP GROUP INC,002860,CTP.2
AEP TEXAS CENTRAL CO,002862,AEP11
CENTRAL STEEL & WIRE CO,002865,CSTW
CENTRAL VERMONT PUB SERV,002870,CV
CENTURY REALTY TRUST,002883,CRLTS
CENTURYLINK INC,002884,CTL
KRAMONT REALTY TRUST,002886,KRT
CERADYNE INC,002888,CRDN
CERBCO INC  -CL A,002889,CERB
CERPROBE CORP,002891,CRPB.
CYBRDI INC,002897,CYDI
CHAD THERAPEUTICS INC,002903,CHADQ
TERAFORCE TECHNOLOGY CORP,002908,TERA
CHALONE WINE GROUP LTD,002909,CHLN.1
UNIFIED GROCERS INC,002911,3089B
CHAMPION ENTERPRISES INC,002916,CJHBQ
CHAMPION INTERNATIONAL CORP,002917,CHA.3
CHAMPION PARTS INC,002918,CREB
CHANCELLOR CORP,002922,CHLR
CHAPARRAL RESOURCES INC,002929,CHAR
CHARMING SHOPPES INC,002938,CHRS.1
MAGELLAN HEALTH INC,002940,MGLN
CANTEL MEDICAL CORP,002942,CMD
CHATTEM INC,002950,CHTT
DELPHAX TECHNOLOGIES INC,002951,DLPX
CHECKPOINT SYSTEMS INC,002953,CKP
CHEFS INTERNATIONAL INC,002955,3CHEF
CHEMED CORP,002960,CHE
CHEMFAB CORPORATION,002965,CFA..
JPMORGAN CHASE & CO,002968,JPM
CHERRY CORP,002975,CHER.1
VERIZON INC/MD,002978,VZ4
VERIZON INC/VA,002979,VZ5
VERIZON WASHINGTON INC/DC,002980,VZ6
VERIZON INC/WV,002981,VZ7
CHESAPEAKE CORP,002982,CSKEQ
CHESAPEAKE UTILITIES CORP,002986,CPK
CELSION CORP,002990,CLSN
CHEVRON CORP,002991,CVX
CHICAGO RIVET & MACHINE CO,002999,CVR
CHIEF CONSOLIDATED MINING CO,003002,CFCM
BRINKER INTL INC,003007,EAT
CHIRON CORP,003011,CHIR.1
CHRIS-CRAFT INDS,003015,CCN.2
CHUBB CORP,003024,CB.1
CHURCH & DWIGHT INC,003026,CHD
CHURCH LOANS & INVTS TRUST,003027,1686B
