conm,gvkey,tic,year,num_reports
TIME WARNER INC,25056,TWX,2007,1
TIME WARNER INC,25056,TWX,2008,1
TIME WARNER INC,25056,TWX,2011,1
TOTAL SA,24625,TOT,2000,2
TOTAL SA,24625,TOT,2001,2
TOTAL SA,24625,TOT,2002,1
TOTAL SA,24625,TOT,2003,1
TOTAL SA,24625,TOT,2005,2
TOTAL SA,24625,TOT,2008,1
TOTAL SA,24625,TOT,2009,1
TOTAL SA,24625,TOT,2010,1
TOTAL SA,24625,TOT,2011,1
TRANS WORLD AIRLINES,10665,3TWAIQ,2000,1
TRANSOCEAN LTD,28338,RIG,2010,2
TVI CORP,10310,TVINQ,2010,1
TYCOM LTD,138181,TCM.3,2003,1
UNITED INDUSTRIAL CORP,10906,UIC,2009,2
UNITEDHEALTH GROUP INC,10903,UNH,2007,1
UNITEDHEALTH GROUP INC,10903,UNH,2009,1
UNITRONIX CORP,14816,UTRX,2007,1
USCORP,21226,USCS,2007,1
USF CORP,24926,USFC.1,2009,1
USG CORP,10816,USG,2010,1
UST INC,10974,UST.1,2001,2
UST INC,10974,UST.1,2002,1
UST INC,10974,UST.1,2004,1
UST INC,10974,UST.1,2005,4
UST INC,10974,UST.1,2008,1
UST INC,10974,UST.1,2009,6
UST INC,10974,UST.1,2010,2
VANTAGEMED CORP,129848,3VMDC,2003,2
VERINT SYSTEMS INC,147242,VRNT,2010,1
VERITAS SOFTWARE CORP,29356,VRTS.1,2007,2
VERITAS SOFTWARE CORP,29356,VRTS.1,2012,3
VF CORP,11060,VFC,2003,3
VIRBAC CORP,30451,VBAC,2006,4
VITESSE SEMICONDUCTOR CORP,24803,VTSS,2010,1
VITESSE SEMICONDUCTOR CORP,24803,VTSS,2011,2
VOYAGER LEARNING CO,60893,VLCY,2008,1
WESBANCO INC,17151,WSBC,2012,1
WEST CORP,64055,WSTC,2012,1
WINSTAR COMMUNICATIONS,23820,3WCIIQ,2005,1
WORLD FUEL SERVICES CORP,12471,INT,2011,1
WORLD HEALTH ALTERNATIVES,150751,WHAIQ,2009,1
WORLD HEALTH ALTERNATIVES,150751,WHAIQ,2010,1
WORLD SURVEILLANCE GROUP INC,61008,WSGI,2012,1
WYETH,1478,WYE,2012,1
XEROX CORP,11636,XRX,2002,1
XEROX CORP,11636,XRX,2003,2
XEROX CORP,11636,XRX,2005,4
XEROX CORP,11636,XRX,2006,5
XEROX CORP,11636,XRX,2007,2
